category_key,category_label_de,category_label_en,question_de,question_en,answer_de,answer_en
allgemein,Allgemein,General,"Wie würdest du deinen Stil beschreiben?","How would you describe your style?","Mein Stil ist dokumentarisch, natürlich und unauffällig. Ich fange echte Momente ein, statt steife Posen zu inszenieren. In der Bearbeitung bekommen die Bilder einen zeitlosen, cineastischen Look mit einem Hauch Editorial.","My style is documentary, natural and unobtrusive. I capture real moments instead of staging stiff poses. In post-processing, the images get a timeless, cinematic look with a touch of editorial."
allgemein,Allgemein,General,"Bietest du sowohl Fotografie als auch Video an?","Do you offer both photography and video?","Ja, du kannst mich für reine Fotografie, reine Videografie oder eine Kombination aus beidem buchen. Der Vorteil: ein Ansprechpartner, ein einheitlicher Stil und perfekt aufeinander abgestimmte Aufnahmen.","Yes, you can book me for photography only, videography only, or a combination of both. The advantage: one point of contact, a consistent style and perfectly coordinated shots."
allgemein,Allgemein,General,"In welchen Regionen bist du tätig?","What regions do you cover?","Mein Schwerpunkt liegt in Tirol, Südtirol und Bayern, also rund um Innsbruck, Achensee, Zillertal, Dolomiten, Chiemsee, Tegernsee und München. Für besondere Anlässe reise ich aber auch gerne europaweit und weltweit an.","My focus is on Tyrol, South Tyrol and Bavaria, around Innsbruck, Lake Achensee, Zillertal, Dolomites, Lake Chiemsee, Tegernsee and Munich. For special occasions, I'm happy to travel across Europe and worldwide."
allgemein,Allgemein,General,"Welche Art von Shootings bietest du an?","What types of shoots do you offer?","Neben Hochzeiten fotografiere und filme ich auch Paarshootings, After-Wedding-Shootings, Elopements, Business-Reportagen, Imagefilme und persönliche Projekte. Sprich mich einfach mit deiner Idee an.","Besides weddings, I also photograph and film couple shoots, after-wedding shoots, elopements, business reportages, image films and personal projects. Just reach out with your idea."
allgemein,Allgemein,General,"Was macht deine Arbeit besonders?","What makes your work special?","Ich mische mich unter die Leute und bleibe unauffällig, sodass natürliche Emotionen entstehen können. Deine Bilder und Filme werden authentisch, zeitlos und mit viel Liebe zum Detail bearbeitet.","I blend in with the crowd and stay unobtrusive, allowing natural emotions to unfold. Your photos and films are edited authentically, timelessly and with great attention to detail."
allgemein,Allgemein,General,"Arbeitest du alleine oder im Team?","Do you work alone or with a team?","In der Regel arbeite ich alleine, was den Tag sehr persönlich und entspannt macht. Für größere Events oder mehrtägige Projekte kann ich auf Wunsch auch eine zweite Person oder spezialisierte Kolleginnen und Kollegen hinzuziehen.","Usually I work alone, which makes the day very personal and relaxed. For larger events or multi-day projects, I can bring in a second person or specialized colleagues upon request."
buchung,"Buchung & Kennenlernen","Booking & Getting to Know","Wie läuft die Buchung bei dir ab?","How does the booking process work?","Du schickst mir eine Anfrage mit Datum, Location und grober Vorstellung. Danach telefonieren oder zoomen wir unverbindlich. Wenn die Chemie passt, erhältst du ein Angebot und einen Vertrag. Mit Unterschrift und Anzahlung ist der Termin verbindlich reserviert.","You send me an inquiry with your date, location and rough idea. Then we have a no-obligation call or video chat. If the chemistry is right, you'll receive a quote and contract. With your signature and deposit, the date is firmly reserved."
buchung,"Buchung & Kennenlernen","Booking & Getting to Know","Gibt es ein Kennenlerngespräch?","Is there a get-to-know meeting?","Ja, unbedingt. Wir treffen uns per Video-Call oder bei einem Kaffee in der Nähe von Innsbruck. Dort lernst du mich kennen, kannst alle Fragen stellen und wir schauen, ob wir menschlich zusammenpassen.","Yes, absolutely. We meet via video call or over coffee near Innsbruck. There you get to know me, can ask all your questions and we see if we're a good personal fit."
buchung,"Buchung & Kennenlernen","Booking & Getting to Know","Wie früh sollte ich dich anfragen?","How far in advance should I inquire?","Je früher, desto besser. Vor allem für beliebte Sommer- und Herbst-Termine buchen viele Paare 9 bis 18 Monate im Voraus. Aber auch kurzfristige Anfragen lohnen sich immer, wenn dein Datum noch frei ist.","The earlier, the better. Especially for popular summer and autumn dates, many couples book 9 to 18 months in advance. But last-minute inquiries are always worthwhile if your date is still available."
buchung,"Buchung & Kennenlernen","Booking & Getting to Know","Reservierst du mein Datum, während ich noch überlege?","Do you hold my date while I'm still deciding?","Nach unserem Erstgespräch kann ich dein Datum für ein paar Tage unverbindlich vormerken. Erst mit Vertrag und Anzahlung ist der Termin fix gebucht. Bei Parallelanfragen informiere ich dich transparent.","After our initial conversation, I can tentatively hold your date for a few days. Only with a contract and deposit is the date firmly booked. If there are parallel inquiries, I'll let you know transparently."
